data_time,dech01_tchout_pre,dech02_tchout_pre,dech03_tchout_pre,dech01_tchout_acl,dech02_tchout_acl,dech03_tchout_acl,dech01_tchin,dech02_tchin,dech03_tchin,dech01_flow,dech02_flow,dech03_flow,dech01_CL_pre,dech02_CL_pre,dech03_CL_pre,dech01_CL_acl,dech02_CL_acl,dech03_CL_acl,total_CL_pre,total_CL_acl,power_active_sum_acl,power_active_sum_simu,power_active_sum_pre,delta_decvpp_temp,dech01_CL_acl_ratio,dech02_CL_acl_ratio,dech03_CL_acl_ratio,dech01_CL_pre_ratio,dech02_CL_pre_ratio,dech03_CL_pre_ratio,EER
2023-06-28 00:00:00,6.527701377868652,6.598726272583008,7.8286919593811035,6.03,11.86,8.2275,11.185,15.09,11.19,408.7555,0.0,512.45975,2213.9989445296037,0.0,2003.308295910023,2450.5975427075,0.0,1765.6224169031254,4217.307240439626,4216.219959610626,807.91305,796.7782822409627,771.2734572695127,-0.0010148477591513938,0.6334421233767157,0.0,0.4563864907858261,0.5722849909606854,0.0,0.5178246687285194,0.04598467798022471
2023-06-28 01:00:00,6.5338358879089355,6.104832649230957,7.8280816078186035,6.036,11.878,8.226,11.184,15.09,11.188,416.1828,0.0,520.7626,2250.775206892193,0.0,2034.9241712453374,2491.7380302672,0.0,1793.9261290555999,4285.69937813753,4285.6641593228,814.41524,808.8987354766097,782.8017694596331,-3.232069849268271e-05,0.6440763125254478,0.0,0.4637025690944245,0.5817910943966172,0.0,0.52599689075021,0.03908211146076282
2023-06-28 02:00:00,6.46478271484375,6.104706764221191,7.829006671905518,5.966,11.89,8.228,11.158,15.09,11.158,424.7152,0.0,532.9032,2318.1854749276945,0.0,2063.1982824833917,2564.556093299199,0.0,1815.9156152879996,4381.383757411086,4380.471708587198,829.02818,827.9775931839787,800.7609850991485,-0.0008189283213368981,0.6628986722411143,0.0,0.46938651621681693,0.5992156215079212,0.0,0.5333053176734799,0.034140048152934165
2023-06-28 03:00:00,6.420880317687988,6.117339134216309,7.7804741859436035,5.955,11.9225,8.1525,11.0775,15.09,11.0875,416.4085,0.0,522.56425,2255.1221477500912,0.0,2009.819218926263,2480.7401054737497,0.0,1783.7234237712503,4264.941366676354,4264.463529245,800.09685,793.5240964712671,769.4578556664178,-0.0004375699241983,0.6412335165491637,0.0,0.4610653252439451,0.5829147123711044,0.0,0.5195076431168772,0.038611296707725916
2023-06-28 04:00:00,6.511691570281982,6.078019142150879,7.8241167068481445,6.014,11.864,8.22,11.186,15.08,11.186,418.5218,0.0,526.1524,2275.1768741357614,0.0,2057.1876262152673,2517.4236937847995,0.0,1814.9406053991995,4332.364500351028,4332.364299183999,812.7472,807.6787238348152,782.1175148360996,-1.8310282001721134e-07,0.6507156651549099,0.0,0.46913449101744764,0.5880985535543624,0.0,0.531751654616607,0.03792310514070778
2023-06-28 05:00:00,6.463113784790039,6.105016708374023,7.7586517333984375,5.963333333333333,11.876666666666667,8.156666666666666,11.143333333333333,15.09,11.143333333333333,411.83616666666666,0.0,517.1478333333333,2241.6635175494334,0.0,2035.6928191460447,2481.0410922966666,0.0,1796.3095514311108,4277.356336695479,4277.350643727777,797.73995,793.958965420647,768.4478829394475,-5.269273863461876e-06,0.6413113170565479,0.0,0.46431864746067436,0.5794358615424906,0.0,0.5261955745201347,0.036893678812523166
2023-06-28 06:00:00,6.486149787902832,6.0001220703125,7.776788234710693,5.996,11.84,8.168,11.144,15.09,11.148,407.5618,0.0,511.1186,2207.7947926740544,0.0,2003.952550936045,2440.1230342631993,0.0,1771.4041767640003,4211.747343610099,4211.5272110272,802.6657399999999,796.371387044604,770.7337852667217,-0.0002060346023524673,0.6307346225510376,0.0,0.45788098760927454,0.5706813122428863,0.0,0.5179911988357964,0.040096813186345316
2023-06-28 07:00:00,6.505423545837402,6.000000953674316,7.8192291259765625,6.011666666666667,11.79,8.213333333333333,11.176666666666666,15.09,11.176666666666666,404.1718333333333,0.0,506.69966666666664,2195.7264341541645,0.0,1978.5101174054864,2427.8177647908333,0.0,1746.267774214444,4174.236551559651,4174.0855390052775,792.7799333333332,790.0267207402345,764.7388277381251,-0.00014255295530229972,0.6275538978961495,0.0,0.4513836105705907,0.5675618254592407,0.0,0.5114147174517245,0.035493869838901584
2023-06-28 08:00:00,6.50567626953125,6.0,7.8242692947387695,6.006666666666667,11.795,8.225,11.2,15.08,11.201666666666666,410.7191666666667,0.0,515.3588333333333,2242.320673736277,0.0,2024.2847350956986,2480.680789727777,0.0,1784.101848626111,4266.605408831976,4264.782638353889,805.5681333333334,804.3304842592675,778.4827200055404,-0.001692406575974914,0.641218184332664,0.0,0.46116314230261096,0.5796057264032561,0.0,0.5232467586258172,0.03367448313579316
2023-06-28 09:00:00,6.376741886138916,6.6241455078125,7.780545711517334,5.96,11.828333333333333,8.113333333333333,11.171666666666667,15.08,11.171666666666667,407.8305,0.0,510.82966666666664,2274.265771729941,0.0,2014.6476726499627,2471.9293119675,0.0,1816.9402429694446,4288.913444379904,4288.869554936944,764.7181333333333,764.1964501321088,744.8718718023072,-4.107953022547406e-05,0.6389560606838214,0.0,0.4696513668595251,0.5878630474655417,0.0,0.5207557248300366,0.025970104320159105
